文献ID,文件名,本地路径
C013,C013_NON-PLANAR TOOLPATH FOR LARGE SCALE ADDITIVE MANUFACTURING.pdf,文献综述项目/03_全文PDF/C013_NON-PLANAR TOOLPATH FOR LARGE SCALE ADDITIVE MANUFACTURING.pdf
C024,C024_Development of a print head for non-planar additive manufacturing of carbon fiber-reinforced polymers.pdf,文献综述项目/03_全文PDF/C024_Development of a print head for non-planar additive manufacturing of carbon fiber-reinforced polymers.pdf
C030,C030_Large-format additive manufacturing of polymer extrusion-based deposition systems_ review and applications.pdf,文献综述项目/03_全文PDF/C030_Large-format additive manufacturing of polymer extrusion-based deposition systems_ review and applications.pdf
C036,C036_Data-driven linear quadratic tracking based temperature control of a big area additive manufacturing system.pdf,文献综述项目/03_全文PDF/C036_Data-driven linear quadratic tracking based temperature control of a big area additive manufacturing system.pdf
C046,C046_Powder bed monitoring via digital image analysis in additive manufacturing.pdf,文献综述项目/03_全文PDF/C046_Powder bed monitoring via digital image analysis in additive manufacturing.pdf
C047,C047_Process monitoring and machine learning for defect detection in laser-based metal additive manufacturing.pdf,文献综述项目/03_全文PDF/C047_Process monitoring and machine learning for defect detection in laser-based metal additive manufacturing.pdf
C048,C048_Context awareness in process monitoring of additive manufacturing using a digital twin.pdf,文献综述项目/03_全文PDF/C048_Context awareness in process monitoring of additive manufacturing using a digital twin.pdf
C049,C049_Towards intelligent monitoring system in wire arc additive manufacturing_ a surface anomaly detector on a smal.pdf,文献综述项目/03_全文PDF/C049_Towards intelligent monitoring system in wire arc additive manufacturing_ a surface anomaly detector on a smal.pdf
C055,C055_Flexible and High-Precision Integration of Inserts by Combining Subtractive and Non-Planar Additive Manufactur.pdf,文献综述项目/03_全文PDF/C055_Flexible and High-Precision Integration of Inserts by Combining Subtractive and Non-Planar Additive Manufactur.pdf
C057,C057_Axisymmetric non-planar slicing and path planning strategy for robot-based additive manufacturing.pdf,文献综述项目/03_全文PDF/C057_Axisymmetric non-planar slicing and path planning strategy for robot-based additive manufacturing.pdf
C063,C063_A continuous toolpath strategy from offset contours for robotic additive manufacturing.pdf,文献综述项目/03_全文PDF/C063_A continuous toolpath strategy from offset contours for robotic additive manufacturing.pdf
C067,C067_Toward autonomous additive manufacturing_ Bayesian optimization on a 3D printer.pdf,文献综述项目/03_全文PDF/C067_Toward autonomous additive manufacturing_ Bayesian optimization on a 3D printer.pdf
C068,C068_Integrated approach to Wire Arc Additive Manufacturing (WAAM) optimization_ Harnessing the synergy of process .pdf,文献综述项目/03_全文PDF/C068_Integrated approach to Wire Arc Additive Manufacturing (WAAM) optimization_ Harnessing the synergy of process .pdf
C080,C080_A deep learning-based model for defect detection in laser-powder bed fusion using in-situ thermographic monito.pdf,文献综述项目/03_全文PDF/C080_A deep learning-based model for defect detection in laser-powder bed fusion using in-situ thermographic monito.pdf
C095,"C095_Frontiers in construction 3D printing_ self-monitoring, multi-robot, drone-assisted processes.pdf","文献综述项目/03_全文PDF/C095_Frontiers in construction 3D printing_ self-monitoring, multi-robot, drone-assisted processes.pdf"
