文献ID,题目,DOI,下载状态,本地路径,下载来源URL,备注
C001,Supportless 3D-printing of non-planar thin-walled structures with the multi-axis screw-extrusion additive manufacturing system,10.1016/j.matdes.2024.112860,失败,文献综述项目/03_全文PDF/C001_Supportless 3D-printing of non-planar thin-walled structures with the multi-axis screw-extrusion additive manufacturing .pdf,,未找到可直接下载PDF（可能需机构权限）
C002,Non-planar additive manufacturing with hydrogels: a review of flow control and toolpath strategies,10.1038/s44431-025-00006-5,成功,文献综述项目/03_全文PDF/C002_Non-planar additive manufacturing with hydrogels_ a review of flow control and toolpath strategies.pdf,https://www.nature.com/articles/s44431-025-00006-5.pdf?error=cookies_not_supported&code=5edec08b-20dc-4278-8c70-ad8e060b8ebc,
C003,Contact-Force-Based Closed-Loop Control of Multi-Axis Additive Manufacturing With Continuous-Fiber-Reinforced Polymer,10.1115/msec2025-155609,失败,文献综述项目/03_全文PDF/C003_Contact-Force-Based Closed-Loop Control of Multi-Axis Additive Manufacturing With Continuous-Fiber-Reinforced Polymer.pdf,,未找到可直接下载PDF（可能需机构权限）
C004,"Machine learning techniques in additive manufacturing: a state of the art review on design, processes and production control",10.1007/s10845-022-02029-5,成功,"文献综述项目/03_全文PDF/C004_Machine learning techniques in additive manufacturing_ a state of the art review on design, processes and production con.pdf",https://link.springer.com/content/pdf/10.1007/s10845-022-02029-5.pdf?error=cookies_not_supported&code=3bd2529e-7104-4513-8d1f-3cb99a6b1de3,
C005,Extrusion under material uncertainty with pressure-based closed-loop feedback control in robotic concrete additive manufacturing,10.1016/j.autcon.2025.106494,失败,文献综述项目/03_全文PDF/C005_Extrusion under material uncertainty with pressure-based closed-loop feedback control in robotic concrete additive manuf.pdf,,未找到可直接下载PDF（可能需机构权限）
C006,Invertible neural networks for real-time control of extrusion additive manufacturing,10.1016/j.addma.2023.103742,成功,文献综述项目/03_全文PDF/C006_Invertible neural networks for real-time control of extrusion additive manufacturing.pdf,https://www.osti.gov/servlets/purl/2317749,
C007,Force controlled printing for material extrusion additive manufacturing,10.1016/j.addma.2024.104297,失败,文献综述项目/03_全文PDF/C007_Force controlled printing for material extrusion additive manufacturing.pdf,,未找到可直接下载PDF（可能需机构权限）
C008,Optical Process Control for extrusion-based Additive Manufacturing methods in construction,10.22260/isarc2023/0015,失败,文献综述项目/03_全文PDF/C008_Optical Process Control for extrusion-based Additive Manufacturing methods in construction.pdf,,未找到可直接下载PDF（可能需机构权限）
C009,Mitigating domain shift in online process monitoring for material extrusion additive manufacturing via transfer learning,10.1016/j.addma.2024.104467,失败,文献综述项目/03_全文PDF/C009_Mitigating domain shift in online process monitoring for material extrusion additive manufacturing via transfer learning.pdf,,未找到可直接下载PDF（可能需机构权限）
C016,Aerial additive manufacturing with multiple autonomous robots,10.1038/s41586-022-04988-4,失败,文献综述项目/03_全文PDF/C016_Aerial additive manufacturing with multiple autonomous robots.pdf,,未找到可直接下载PDF（可能需机构权限）
