文献ID,研究问题,方法,样本/实验设置,关键变量,主要发现,与主线关系,证据状态
C001,待阅读全文补充,待补充（基于摘要）,待补充,"local slope/curvature, nozzle height, flow, temperature",待补充（禁止推断）,支撑“non-planar参数研究多为经验调参”,题录+摘要已记录；全文待核验
C002,待阅读全文补充,待补充（基于摘要）,待补充,"local slope/curvature, nozzle height, flow, temperature",待补充（禁止推断）,支撑“non-planar工作以路径/可达性为主”,题录+摘要已记录；全文待核验
C003,待阅读全文补充,待补充（基于摘要）,待补充,"local slope/curvature, nozzle height, flow, temperature",待补充（禁止推断）,支撑“planar已发展出感知-建模-控制范式”,题录+摘要已记录；全文待核验
C004,待阅读全文补充,待补充（基于摘要）,待补充,"local slope/curvature, nozzle height, flow, temperature",待补充（禁止推断）,支撑“高通量+自动测量数据基础设施”,题录+摘要已记录；全文待核验
C005,待阅读全文补充,待补充（基于摘要）,待补充,"local slope/curvature, nozzle height, flow, temperature",待补充（禁止推断）,支撑“planar已发展出感知-建模-控制范式”,题录+摘要已记录；全文待核验
C006,待阅读全文补充,待补充（基于摘要）,待补充,"local slope/curvature, nozzle height, flow, temperature",待补充（禁止推断）,支撑“逆向/物理融合/双向建模可行”,题录+摘要已记录；全文待核验
C007,待阅读全文补充,待补充（基于摘要）,待补充,"local slope/curvature, nozzle height, flow, temperature",待补充（禁止推断）,支撑“planar已发展出感知-建模-控制范式”,题录+摘要已记录；全文待核验
C008,待阅读全文补充,待补充（基于摘要）,待补充,"local slope/curvature, nozzle height, flow, temperature",待补充（禁止推断）,支撑“planar已发展出感知-建模-控制范式”,题录+摘要已记录；全文待核验
C009,待阅读全文补充,待补充（基于摘要）,待补充,"local slope/curvature, nozzle height, flow, temperature",待补充（禁止推断）,支撑“逆向/物理融合/双向建模可行”,题录+摘要已记录；全文待核验
C016,待阅读全文补充,待补充（基于摘要）,待补充,"local slope/curvature, nozzle height, flow, temperature",待补充（禁止推断）,支撑“高通量+自动测量数据基础设施”,题录+摘要已记录；全文待核验
C017,待阅读全文补充,待补充（基于摘要）,待补充,"local slope/curvature, nozzle height, flow, temperature",待补充（禁止推断）,支撑“高通量+自动测量数据基础设施”,题录+摘要已记录；全文待核验
C018,待阅读全文补充,待补充（基于摘要）,待补充,"local slope/curvature, nozzle height, flow, temperature",待补充（禁止推断）,支撑“planar已发展出感知-建模-控制范式”,题录+摘要已记录；全文待核验
C019,待阅读全文补充,待补充（基于摘要）,待补充,"local slope/curvature, nozzle height, flow, temperature",待补充（禁止推断）,支撑“planar已发展出感知-建模-控制范式”,题录+摘要已记录；全文待核验
C021,待阅读全文补充,待补充（基于摘要）,待补充,"local slope/curvature, nozzle height, flow, temperature",待补充（禁止推断）,支撑“高通量+自动测量数据基础设施”,题录+摘要已记录；全文待核验
C011,待阅读全文补充,待补充（基于摘要）,待补充,"local slope/curvature, nozzle height, flow, temperature",待补充（禁止推断）,支撑“逆向/物理融合/双向建模可行”,题录+摘要已记录；全文待核验
C014,待阅读全文补充,待补充（基于摘要）,待补充,"local slope/curvature, nozzle height, flow, temperature",待补充（禁止推断）,支撑“逆向/物理融合/双向建模可行”,题录+摘要已记录；全文待核验
C015,待阅读全文补充,待补充（基于摘要）,待补充,"local slope/curvature, nozzle height, flow, temperature",待补充（禁止推断）,支撑“逆向/物理融合/双向建模可行”,题录+摘要已记录；全文待核验
C020,待阅读全文补充,待补充（基于摘要）,待补充,"local slope/curvature, nozzle height, flow, temperature",待补充（禁止推断）,支撑“逆向/物理融合/双向建模可行”,题录+摘要已记录；全文待核验
C028,待阅读全文补充,待补充（基于摘要）,待补充,"local slope/curvature, nozzle height, flow, temperature",待补充（禁止推断）,支撑“逆向/物理融合/双向建模可行”,题录+摘要已记录；全文待核验
C022,待阅读全文补充,待补充（基于摘要）,待补充,"local slope/curvature, nozzle height, flow, temperature",待补充（禁止推断）,支撑“高通量+自动测量数据基础设施”,题录+摘要已记录；全文待核验
C027,待阅读全文补充,待补充（基于摘要）,待补充,"local slope/curvature, nozzle height, flow, temperature",待补充（禁止推断）,支撑“高通量+自动测量数据基础设施”,题录+摘要已记录；全文待核验
C029,待阅读全文补充,待补充（基于摘要）,待补充,"local slope/curvature, nozzle height, flow, temperature",待补充（禁止推断）,支撑“高通量+自动测量数据基础设施”,题录+摘要已记录；全文待核验
C034,待阅读全文补充,待补充（基于摘要）,待补充,"local slope/curvature, nozzle height, flow, temperature",待补充（禁止推断）,支撑“高通量+自动测量数据基础设施”,题录+摘要已记录；全文待核验
C043,待阅读全文补充,待补充（基于摘要）,待补充,"local slope/curvature, nozzle height, flow, temperature",待补充（禁止推断）,支撑“高通量+自动测量数据基础设施”,题录+摘要已记录；全文待核验
